#F XREmission.dat 
#UT X-Ray Emission Lines, K-level and L-level emission lines in KeV
#U3W Sheet_Stand
#C This file has been created using XREmission.tcl
#UD X-Ray Emission Lines, K-level and L-level emission lines in KeV
#UD 
#UD  Values are from J. A. Bearden, "X-Ray Wavelengths", Review of Modern
#UD  Physics, (January 1967) pp. 86-99, unless otherwise noted.
#UD 
#C
#S 3 Li
  24.2097  24.0020  27.2759  3.28694  3.27929  3.48721  3.71381  3.92081
#S 50 Sn
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  25.2713  25.0440  28.4860  3.44398  3.43542  3.66280  3.90486  4.13112
#S 51 Sb
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  26.3591  26.1108  29.7256  3.60472  3.59532  3.84357  4.10078  4.34779
#S 52 Te
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  27.4723  27.2017  30.9957  3.76933  3.7588  4.02958  4.3017  4.5709
#S 53 I
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  28.6120  28.3172  32.2947  3.93765  3.92604  4.22072  4.5075  4.8009
#S 54 Xe
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  29.779  29.458  33.624  4.1099  -9999  -9999  -9999  -9999
#S 55 Cs
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  30.9728  30.6251  34.9869  4.2865  4.2722  4.6198  4.9359  5.2804
#S 56 Ba
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  32.1936  31.8171  36.3782  4.46626  4.45090  4.82753  5.1565  5.5311
#S 57 La
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  33.4418  33.0341  37.8010  4.65097  4.63423  5.0421  5.3835  5.7885
#S 58 Ce
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  34.7197  34.2789  39.2573  4.8402  4.8230  5.2622  5.6134  6.052
#S 59 Pr
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  36.0263  35.5502  40.7482  5.0337  5.0135  5.4889  5.850  6.3221
#S 60 Nd
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  37.3610  36.8474  42.2713  5.2304  5.2077  5.7216  6.0894  6.6021
#S 61 Pm
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  38.7247  38.1712  43.826  5.4325  5.4078  5.961  6.339  6.892
#S 62 Sm
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  40.1181  39.5224  45.413  5.6361  5.6090  6.2051  6.586  7.178
#S 63 Eu
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  41.5422  40.9019  47.0379  5.8457  5.8166  6.4564  6.8432  7.4803
#S 64 Gd
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  42.9962  42.3089  48.697  6.0572  6.0250  6.7132  7.1028  7.7858
#S 65 Tb
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  44.4816  43.7441  50.382  6.2728  6.2380  6.978  7.3667  8.102
#S 66 Dy
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  45.9984  45.2078  52.119  6.4952  6.4577  7.2477  7.6357  8.4188
#S 67 Ho
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  47.5467  46.6997  53.877  6.7198  6.6795  7.5253  7.911  8.747
#S 68 Er
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  49.1277  48.2211  55.681  6.9487  6.9050  7.8109  8.1890  9.089
#S 69 Tm
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  50.7416  49.7726  57.517  7.1799  7.1331  8.101  8.468  9.426
#S 70 Yb
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  52.3889  51.3540  59.37  7.4156  7.3673  8.4018  8.7S88  9.7801
#S 71 Lu
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  54.0698  52.9650  61.283  7.6555  7.6049  8.7090  9.0489  10.1434
#S 72 Hf
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  55.7902  54.6114  63.234  7.8990  7.8446  9.0227  9.3473  10.5158
#S 73 Ta
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  57.532  56.277  65.223  8.1461  8.0879  9.3431  9.6518  10.8952
#S 74 W
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  59.31824  57.9817  67.2443  8.3976  8.3352  9.67235  9.9615  11.2859
#S 75 Re
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  61.1403  59.7179  69.310  8.6525  8.5862  10.0100  10.2752  11.6854
#S 76 Os
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  63.0005  61.4867  71.413  8.9117  8.8410  10.3553  10.5985  12.0953
#S 77 Ir
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  64.8956  63.2867  73.5608  9.1751  9.0995  10.7083  10.9203  12.5126
#S 78 Pt
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  66.832  65.112  75.748  9.4423  9.3618  11.0707  11.2505  12.9420
#S 79 Au
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  68.8037  66.9895  77.984  9.7133  9.6280  11.4423  11.5847  13.3817
#S 80 Hg
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  70.819  68.895  80.253  9.9888  9.8976  11.8226  11.9241  13.8301
#S 81 Tl
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  72.8715  70.8319  82.576  10.2685  10.1728  12.2133  12.2715  14.2915
#S 82 Pb
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  74.9694  72.8042  84.936  10.5515  10.4495  12.6137  12.6226  14.7644
#S 83 Bi
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  77.1079  74.8148  87.343  10.8388  10.73091  13.0235  12.9799  15.2477
#S 84 Po
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  79.290  76.862  89.80  11.1308  11.0158  13.447  13.3404  15.744
#S 8S At
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  81.52  78.95  92.30  11.4268  11.3048  13.876  -9999  16.251
#S 86 Rn
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  83.78  81.07  94.87  11.7270  11.5979  14.316  -9999  16.770
#S 87 Fr
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  86.10  83.23  97.47  12.0313  11.8950  14.770  14.45  17.303
#S 88 Ra
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  88.47  85.43  100.13  12.3397  12.1962  15.2358  14.8414  17.849
#S 89 Ac
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  90.884  87.67  102.85  12.6520  12.5008  15.713  -9999  18.408
#S 90 Th
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  93.350  89.953  105.609  12.9687  12.8096  16.2022  15.6237  18.9825
#S 91 Pa
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  95.868  92.287  108.427  13.2907  13.1222  16.702  16.024  19.568
#S 92 U
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  98.439  94.665  111.300  13.6147  13.4388  17.2200  16.4283  20.1671
#S 93 Np
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  -9999  -9999  -9999  13.9441  13.7597  17.7502  16.8400  20.7848
#S 94 Pu
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  -9999  -9999  -9999  14.2786  14.0842  18.2937  17.2553  21.4173
#S 95 Am
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  -9999  -9999  -9999  14.6172  14.4119  18.8520  17.6765  22.0652
